Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,SEO Title,SEO Description,Status,Metafield: custom.metal_type [single_line_text_field],Metafield: custom.metal_weight [single_line_text_field],Metafield: custom.diamond_weight [single_line_text_field],Metafield: custom.measurements [single_line_text_field],Metafield: custom.gemstones [single_line_text_field],Metafield: custom.era [single_line_text_field],Metafield: custom.condition [single_line_text_field]
cartier-art-deco-diamond-platinum-ring,Cartier Art Deco Diamond Platinum Ring,"<p>An authenticated Cartier estate ring with crisp Art Deco geometry, bright old European cut diamonds, and a platinum mounting selected for its collectible signature and refined condition.</p>",Cartier,,Rings,"antique-estate, new-arrival, rings, designer-jewelry, cartier, art-deco",TRUE,Title,Default Title,LM-CARTIER-ART-DECO-DIAMOND-PLATINUM-RING,,shopify,1,deny,manual,28500.00,TRUE,TRUE,Cartier Art Deco Diamond Platinum Ring | Laura Milman,Authenticated Cartier Art Deco diamond platinum estate ring curated by Laura Milman New York.,active,Platinum,7.8 g,Approx. 1.85 CTW,Size 6.25; face 14 mm,Old European cut diamonds,"Art Deco, c. 1930",Excellent pre-owned condition; signed and authenticated
van-cleef-arpels-vintage-alhambra-mother-of-pearl-necklace,Van Cleef & Arpels Vintage Alhambra Mother-of-Pearl Necklace,"<p>A signed Van Cleef & Arpels Vintage Alhambra necklace with luminous mother-of-pearl stations and 18K yellow gold beading, chosen for its graceful estate presence.</p>",Van Cleef & Arpels,,Necklaces,"antique-estate, bestseller, necklaces, designer-jewelry, van-cleef-arpels, bridal-gifts",TRUE,Title,Default Title,LM-VAN-CLEEF-ARPELS-VINTAGE-ALHAMBRA-MOTHER-OF-P,,shopify,1,deny,manual,16200.00,TRUE,TRUE,Van Cleef & Arpels Alhambra Mother-of-Pearl Necklace,Signed estate Van Cleef & Arpels Vintage Alhambra necklace in 18K yellow gold and mother-of-pearl.,active,18K Yellow Gold,18.4 g,None,16 in length,Mother-of-pearl,Contemporary estate,Excellent pre-owned condition; signed and authenticated
tiffany-co-schlumberger-diamond-x-earrings,Tiffany & Co. Schlumberger Diamond X Earrings,"<p>Estate Tiffany & Co. earrings from the Schlumberger design language, set with bright round diamonds in an elegant X motif for polished evening wear.</p>",Tiffany & Co.,,Earrings,"antique-estate, earrings, designer-jewelry, tiffany-co, bridal-gifts",TRUE,Title,Default Title,LM-TIFFANY-CO-SCHLUMBERGER-DIAMOND-X-EARRINGS,,shopify,1,deny,manual,11800.00,TRUE,TRUE,Tiffany & Co. Schlumberger Diamond X Earrings,Authenticated estate Tiffany & Co. Schlumberger diamond earrings curated by Laura Milman.,active,18K Yellow Gold and Platinum,10.2 g,Approx. 1.20 CTW,18 mm,Round brilliant diamonds,Late 20th century,Excellent pre-owned condition; signed and authenticated
david-webb-black-enamel-diamond-cuff-bracelet,David Webb Black Enamel Diamond Cuff Bracelet,"<p>A bold David Webb estate cuff with glossy black enamel, sculptural 18K gold, and diamond accents, curated for collectors who appreciate unmistakable design.</p>",David Webb,,Bracelets,"antique-estate, new-arrival, bracelets, designer-jewelry, david-webb, statement",TRUE,Title,Default Title,LM-DAVID-WEBB-BLACK-ENAMEL-DIAMOND-CUFF-BRACELET,,shopify,1,deny,manual,42500.00,TRUE,TRUE,David Webb Black Enamel Diamond Cuff Bracelet,"Signed David Webb estate cuff bracelet with black enamel, diamonds, and 18K gold.",active,18K Yellow Gold and Platinum,86.5 g,Approx. 2.35 CTW,6.25 in inner circumference,Diamonds and black enamel,"Vintage, c. 1970s",Very good pre-owned condition; signed and authenticated
bvlgari-serpenti-diamond-coil-ring,Bvlgari Serpenti Diamond Coil Ring,"<p>A signed Bvlgari Serpenti estate ring with coiled 18K gold curves and diamond accents, bringing Roman glamour to a collectible everyday silhouette.</p>",Bvlgari,,Rings,"antique-estate, rings, designer-jewelry, bvlgari, statement",TRUE,Title,Default Title,LM-BVLGARI-SERPENTI-DIAMOND-COIL-RING,,shopify,1,deny,manual,23800.00,TRUE,TRUE,Bvlgari Serpenti Diamond Coil Ring,Authenticated Bvlgari Serpenti diamond estate ring in 18K gold.,active,18K Yellow Gold,13.6 g,Approx. 0.68 CTW,Size 6.5,Round brilliant diamonds,Contemporary estate,Excellent pre-owned condition; signed and authenticated
buccellati-diamond-rigato-gold-cuff,Buccellati Diamond Rigato Gold Cuff,"<p>A Buccellati estate cuff with hand-engraved Rigato texture and diamond details, selected for its soft gold finish and heirloom Italian craft.</p>",Buccellati,,Bracelets,"antique-estate, bracelets, designer-jewelry, buccellati, bestseller",TRUE,Title,Default Title,LM-BUCCELLATI-DIAMOND-RIGATO-GOLD-CUFF,,shopify,1,deny,manual,36500.00,TRUE,TRUE,Buccellati Diamond Rigato Gold Cuff,Authenticated Buccellati diamond Rigato gold estate cuff curated by Laura Milman.,active,18K Yellow and White Gold,54.1 g,Approx. 1.10 CTW,6.5 in inner circumference,Round brilliant diamonds,Vintage estate,Excellent pre-owned condition; signed and authenticated
harry-winston-diamond-cluster-stud-earrings,Harry Winston Diamond Cluster Stud Earrings,"<p>Harry Winston estate cluster earrings with crisp white diamonds arranged for maximum light, offering a refined high-jewelry staple.</p>",Harry Winston,,Earrings,"antique-estate, new-arrival, earrings, designer-jewelry, harry-winston, bridal-gifts",TRUE,Title,Default Title,LM-HARRY-WINSTON-DIAMOND-CLUSTER-STUD-EARRINGS,,shopify,1,deny,manual,52000.00,TRUE,TRUE,Harry Winston Diamond Cluster Stud Earrings,Authenticated estate Harry Winston diamond cluster stud earrings.,active,Platinum,8.9 g,Approx. 4.20 CTW,13 mm,Round and pear shape diamonds,Late 20th century,Excellent pre-owned condition; signed and authenticated
graff-sapphire-diamond-three-stone-ring,Graff Sapphire and Diamond Three-Stone Ring,"<p>A Graff estate three-stone ring centering a vivid blue sapphire with diamond sides, chosen for color, proportion, and impeccable finish.</p>",Graff,,Rings,"antique-estate, rings, designer-jewelry, graff, engagement-rings",TRUE,Title,Default Title,LM-GRAFF-SAPPHIRE-DIAMOND-THREE-STONE-RING,,shopify,1,deny,manual,68500.00,TRUE,TRUE,Graff Sapphire and Diamond Three-Stone Ring,Authenticated Graff sapphire and diamond three-stone estate ring.,active,Platinum,6.7 g,Approx. 1.35 CTW,Size 6,Blue sapphire and diamonds,Contemporary estate,Excellent pre-owned condition; signed and authenticated
chopard-happy-diamonds-heart-pendant,Chopard Happy Diamonds Heart Pendant,"<p>A playful Chopard Happy Diamonds estate heart pendant with floating diamonds and polished gold, selected as a refined giftable icon.</p>",Chopard,,Pendants,"antique-estate, pendants, necklaces, designer-jewelry, chopard, bridal-gifts",TRUE,Title,Default Title,LM-CHOPARD-HAPPY-DIAMONDS-HEART-PENDANT,,shopify,1,deny,manual,7200.00,TRUE,TRUE,Chopard Happy Diamonds Heart Pendant,Signed Chopard Happy Diamonds estate heart pendant in 18K gold.,active,18K Yellow Gold,11.8 g,Approx. 0.45 CTW,Pendant 22 mm; chain 16 in,Floating round diamonds,Contemporary estate,Excellent pre-owned condition; signed and authenticated
hermes-diamond-kelly-bracelet,Hermès Diamond Kelly Bracelet,"<p>A signed Hermès Kelly bracelet in 18K rose gold with diamond detail, balancing house codes with refined estate wearability.</p>",Hermès,,Bracelets,"antique-estate, bracelets, designer-jewelry, hermes, bestseller",TRUE,Title,Default Title,LM-HERMES-DIAMOND-KELLY-BRACELET,,shopify,1,deny,manual,19800.00,TRUE,TRUE,Hermès Diamond Kelly Bracelet,Authenticated Hermès diamond Kelly estate bracelet in 18K rose gold.,active,18K Rose Gold,23.5 g,Approx. 0.30 CTW,6.75 in,Round brilliant diamonds,Contemporary estate,Excellent pre-owned condition; signed and authenticated
marina-b-diamond-gold-choker-necklace,Marina B Diamond Gold Choker Necklace,"<p>A Marina B estate choker necklace with sculptural gold links and diamond accents, selected for the confident 1980s Italian design signature.</p>",Marina B,,Necklaces,"antique-estate, necklaces, designer-jewelry, marina-b, statement",TRUE,Title,Default Title,LM-MARINA-B-DIAMOND-GOLD-CHOKER-NECKLACE,,shopify,1,deny,manual,24500.00,TRUE,TRUE,Marina B Diamond Gold Choker Necklace,Signed Marina B estate diamond gold choker necklace curated by Laura Milman.,active,18K Yellow Gold,62.3 g,Approx. 1.55 CTW,15 in length,Round brilliant diamonds,"Vintage, c. 1980s",Very good pre-owned condition; signed and authenticated
cartier-trinity-rolling-wedding-band,Cartier Trinity Rolling Wedding Band,"<p>A Cartier Trinity rolling band in three tones of 18K gold, an enduring estate wedding band and stacking ring with signed provenance.</p>",Cartier,,Rings,"antique-estate, rings, wedding-bands, bridal-sets, designer-jewelry, cartier",TRUE,Title,Default Title,LM-CARTIER-TRINITY-ROLLING-WEDDING-BAND,,shopify,1,deny,manual,3950.00,TRUE,TRUE,Cartier Trinity Rolling Wedding Band,Signed estate Cartier Trinity rolling wedding band in three-tone 18K gold.,active,"18K Yellow, White, and Rose Gold",9.4 g,None,Size 6.75; 4 mm each band,None,Contemporary estate,Very good pre-owned condition; signed and authenticated
van-cleef-arpels-diamond-fleurette-ring,Van Cleef & Arpels Diamond Fleurette Ring,"<p>A Van Cleef & Arpels Fleurette estate ring with petal-like diamond clusters in white gold, offering floral brilliance with signed French elegance.</p>",Van Cleef & Arpels,,Rings,"antique-estate, rings, engagement-rings, designer-jewelry, van-cleef-arpels",TRUE,Title,Default Title,LM-VAN-CLEEF-ARPELS-DIAMOND-FLEURETTE-RING,,shopify,1,deny,manual,14800.00,TRUE,TRUE,Van Cleef & Arpels Diamond Fleurette Ring,Signed Van Cleef & Arpels diamond Fleurette estate ring.,active,18K White Gold,5.6 g,Approx. 1.30 CTW,Size 6.25,Round brilliant diamonds,Contemporary estate,Excellent pre-owned condition; signed and authenticated
tiffany-co-diamond-tennis-bracelet,Tiffany & Co. Diamond Tennis Bracelet,"<p>A Tiffany & Co. estate tennis bracelet with a clean line of round brilliant diamonds, curated for classic daily brilliance.</p>",Tiffany & Co.,,Bracelets,"antique-estate, bracelets, designer-jewelry, tiffany-co, bestseller, bridal-gifts",TRUE,Title,Default Title,LM-TIFFANY-CO-DIAMOND-TENNIS-BRACELET,,shopify,1,deny,manual,21500.00,TRUE,TRUE,Tiffany & Co. Diamond Tennis Bracelet,Authenticated Tiffany & Co. diamond estate tennis bracelet.,active,Platinum,17.2 g,Approx. 5.00 CTW,7 in length,Round brilliant diamonds,Contemporary estate,Excellent pre-owned condition; signed and authenticated
david-webb-coral-diamond-clip-earrings,David Webb Coral Diamond Clip Earrings,"<p>David Webb clip earrings with rich coral cabochons, sculptural gold, and diamond accents, selected for vivid estate glamour.</p>",David Webb,,Earrings,"antique-estate, earrings, designer-jewelry, david-webb, statement",TRUE,Title,Default Title,LM-DAVID-WEBB-CORAL-DIAMOND-CLIP-EARRINGS,,shopify,1,deny,manual,27500.00,TRUE,TRUE,David Webb Coral Diamond Clip Earrings,Signed David Webb coral and diamond estate clip earrings.,active,18K Yellow Gold and Platinum,24.7 g,Approx. 0.95 CTW,26 mm,Coral cabochons and diamonds,"Vintage, c. 1970s",Very good pre-owned condition; signed and authenticated
bvlgari-monete-ancient-coin-pendant,Bvlgari Monete Ancient Coin Pendant,"<p>A Bvlgari Monete estate pendant featuring an ancient coin in a polished gold frame, selected for its historical texture and Roman house signature.</p>",Bvlgari,,Pendants,"antique-estate, pendants, necklaces, designer-jewelry, bvlgari, charms",TRUE,Title,Default Title,LM-BVLGARI-MONETE-ANCIENT-COIN-PENDANT,,shopify,1,deny,manual,18800.00,TRUE,TRUE,Bvlgari Monete Ancient Coin Pendant,Authenticated Bvlgari Monete ancient coin estate pendant.,active,18K Yellow Gold,21.6 g,None,Pendant 31 mm,Ancient coin,Contemporary estate with ancient coin,Very good pre-owned condition; signed and authenticated
buccellati-pearl-diamond-brooch,Buccellati Pearl Diamond Brooch,"<p>A Buccellati estate brooch with a lustrous pearl, diamond accents, and hand-engraved gold, offering delicate texture and heirloom charm.</p>",Buccellati,,Brooches,"antique-estate, brooches, designer-jewelry, buccellati",TRUE,Title,Default Title,LM-BUCCELLATI-PEARL-DIAMOND-BROOCH,,shopify,1,deny,manual,22800.00,TRUE,TRUE,Buccellati Pearl Diamond Brooch,Signed Buccellati pearl and diamond estate brooch.,active,18K Yellow and White Gold,18.9 g,Approx. 0.80 CTW,42 mm,Pearl and diamonds,Vintage estate,Excellent pre-owned condition; signed and authenticated
harry-winston-emerald-cut-diamond-engagement-ring,Harry Winston Emerald Cut Diamond Engagement Ring,"<p>An estate Harry Winston emerald cut diamond engagement ring with tapered baguette side stones, chosen for balanced proportions and exceptional presence.</p>",Harry Winston,,Rings,"antique-estate, rings, engagement-rings, bridal-sets, designer-jewelry, harry-winston, new-arrival",TRUE,Title,Default Title,LM-HARRY-WINSTON-EMERALD-CUT-DIAMOND-ENGAGEMENT-,,shopify,1,deny,manual,96500.00,TRUE,TRUE,Harry Winston Emerald Cut Diamond Engagement Ring,Authenticated Harry Winston emerald cut diamond estate engagement ring.,active,Platinum,5.9 g,Approx. 4.10 CTW center; 0.55 CTW side stones,Size 6,Emerald cut and baguette diamonds,Contemporary estate,Excellent pre-owned condition; signed and authenticated
graff-fancy-yellow-diamond-drop-earrings,Graff Fancy Yellow Diamond Drop Earrings,"<p>Graff estate drop earrings with fancy yellow diamonds and white diamond accents, selected for color saturation and refined movement.</p>",Graff,,Earrings,"antique-estate, earrings, designer-jewelry, graff, statement, new-arrival",TRUE,Title,Default Title,LM-GRAFF-FANCY-YELLOW-DIAMOND-DROP-EARRINGS,,shopify,1,deny,manual,74500.00,TRUE,TRUE,Graff Fancy Yellow Diamond Drop Earrings,Authenticated Graff fancy yellow diamond estate drop earrings.,active,18K Yellow Gold and Platinum,12.1 g,Approx. 5.85 CTW,31 mm drop,Fancy yellow and white diamonds,Contemporary estate,Excellent pre-owned condition; signed and authenticated
chopard-imperiale-amethyst-diamond-ring,Chopard Imperiale Amethyst Diamond Ring,"<p>A Chopard Imperiale estate ring with a rich amethyst center and diamond accents, offering regal color in an elegant signed setting.</p>",Chopard,,Rings,"antique-estate, rings, designer-jewelry, chopard, colored-stone",TRUE,Title,Default Title,LM-CHOPARD-IMPERIALE-AMETHYST-DIAMOND-RING,,shopify,1,deny,manual,8900.00,TRUE,TRUE,Chopard Imperiale Amethyst Diamond Ring,Signed Chopard Imperiale amethyst and diamond estate ring.,active,18K Rose Gold,11.4 g,Approx. 0.35 CTW,Size 6.5,Amethyst and diamonds,Contemporary estate,Excellent pre-owned condition; signed and authenticated
hermes-chaine-dancre-diamond-necklace,Hermès Chaîne d'Ancre Diamond Necklace,"<p>An estate Hermès Chaîne d'Ancre necklace in 18K gold with diamond-set links, balancing crisp house geometry with polished wearability.</p>",Hermès,,Necklaces,"antique-estate, necklaces, designer-jewelry, hermes",TRUE,Title,Default Title,LM-HERMES-CHAINE-DANCRE-DIAMOND-NECKLACE,,shopify,1,deny,manual,26500.00,TRUE,TRUE,Hermès Chaine d'Ancre Diamond Necklace,Authenticated Hermès Chaine d'Ancre diamond estate necklace in 18K gold.,active,18K White Gold,38.2 g,Approx. 1.75 CTW,16.5 in length,Round brilliant diamonds,Contemporary estate,Excellent pre-owned condition; signed and authenticated
marina-b-onyx-diamond-earclips,Marina B Onyx Diamond Earclips,"<p>Marina B estate earclips with black onyx, diamonds, and sculptural gold, selected for a striking graphic profile.</p>",Marina B,,Earrings,"antique-estate, earrings, designer-jewelry, marina-b, statement",TRUE,Title,Default Title,LM-MARINA-B-ONYX-DIAMOND-EARCLIPS,,shopify,1,deny,manual,13500.00,TRUE,TRUE,Marina B Onyx Diamond Earclips,Signed Marina B onyx and diamond estate earclips.,active,18K Yellow Gold,19.6 g,Approx. 0.72 CTW,24 mm,Black onyx and diamonds,"Vintage, c. 1980s",Very good pre-owned condition; signed and authenticated
cartier-diamond-love-bracelet,Cartier Diamond Love Bracelet,"<p>A Cartier diamond Love bracelet in 18K yellow gold, authenticated and selected as a timeless estate icon for stacking or solo wear.</p>",Cartier,,Bracelets,"antique-estate, bracelets, designer-jewelry, cartier, bestseller, bridal-gifts",TRUE,Title,Default Title,LM-CARTIER-DIAMOND-LOVE-BRACELET,,shopify,1,deny,manual,12600.00,TRUE,TRUE,Cartier Diamond Love Bracelet,Authenticated Cartier diamond Love estate bracelet in 18K yellow gold.,active,18K Yellow Gold,31.8 g,Approx. 0.42 CTW,Size 17,Round brilliant diamonds,Contemporary estate,Very good pre-owned condition; signed and authenticated
tiffany-co-schlumberger-sixteen-stone-ring,Tiffany & Co. Schlumberger Sixteen Stone Ring,"<p>A Tiffany & Co. Schlumberger Sixteen Stone estate ring with alternating diamonds and sculptural gold cross-stitches, ideal as a collectible band.</p>",Tiffany & Co.,,Rings,"antique-estate, rings, designer-jewelry, tiffany-co, wedding-bands",TRUE,Title,Default Title,LM-TIFFANY-CO-SCHLUMBERGER-SIXTEEN-STONE-RING,,shopify,1,deny,manual,11200.00,TRUE,TRUE,Tiffany & Co. Schlumberger Sixteen Stone Ring,Signed Tiffany & Co. Schlumberger Sixteen Stone estate ring.,active,18K Yellow Gold and Platinum,10.7 g,Approx. 1.05 CTW,Size 6,Round brilliant diamonds,Late 20th century,Excellent pre-owned condition; signed and authenticated
